dataset,year,treatment,tiller,N,Nmax,lmax,wmax,w(0),w(0.02),w(0.04),w(0.06),w(0.08),w(0.1),w(0.12),w(0.14),w(0.16),w(0.18),w(0.2),w(0.22),w(0.24),w(0.26),w(0.28),w(0.3),w(0.32),w(0.34),w(0.36),w(0.38),w(0.4),w(0.42),w(0.44),w(0.46),w(0.48),w(0.5),w(0.52),w(0.54),w(0.56),w(0.58),w(0.6),w(0.62),w(0.64),w(0.66),w(0.68),w(0.7),w(0.72),w(0.74),w(0.76),w(0.78),w(0.8),w(0.82),w(0.84),w(0.86),w(0.88),w(0.9),w(0.92),w(0.94),w(0.96),w(0.98),w(1)
Wheat I,2007/8,1,0,12,14,28.9777,1.3669,0.0029534,0.13029,0.24172,0.30548,0.35644,0.40208,0.45875,0.49708,0.53684,0.55808,0.60012,0.62053,0.65179,0.68197,0.71983,0.74934,0.76411,0.81834,0.85524,0.89429,0.91984,0.93307,0.96339,0.97705,0.97277,0.97415,0.9641,0.9609,0.95124,0.95192,0.93984,0.95158,0.96822,0.96409,0.95973,0.96262,0.94586,0.94765,0.95769,0.95583,0.95978,0.95468,0.94846,0.94259,0.92029,0.88429,0.84937,0.82049,0.78511,0.7581,0.59278
Wheat I,2007/8,1,0,13,14,29.0955,1.4534,0.016711,0.066363,0.14805,0.24611,0.31175,0.37144,0.4195,0.46497,0.50511,0.52656,0.561,0.58931,0.62987,0.66283,0.70724,0.74594,0.80062,0.82876,0.86766,0.89063,0.915,0.93419,0.94036,0.94471,0.96253,0.9645,0.97361,0.97408,0.97476,0.97822,0.98387,0.97193,0.98313,0.98588,0.98423,0.98372,0.97805,0.97731,0.9532,0.92046,0.92211,0.95027,0.94289,0.91867,0.90381,0.87456,0.8692,0.87946,0.81983,0.77315,0.5254
Wheat I,2007/8,1,0,14,14,21.074,1.7044,0.0098329,0.063399,0.12796,0.20159,0.25806,0.29433,0.3374,0.39262,0.4155,0.47921,0.53081,0.56919,0.61134,0.64999,0.69106,0.7206,0.74015,0.77178,0.80307,0.82616,0.84345,0.85934,0.87777,0.89949,0.92171,0.93342,0.93833,0.94751,0.96624,0.97115,0.96704,0.97389,0.98579,0.9835,0.98921,0.98581,0.97763,0.96917,0.96751,0.96198,0.96009,0.95874,0.94567,0.92775,0.90458,0.87805,0.86433,0.82403,0.76155,0.69999,0.52268
Wheat I,2007/8,2,0,1,13,7.8957,0.31148,0.053754,0.43893,0.53698,0.5648,0.66676,0.72217,0.78229,0.81428,0.84679,0.87433,0.86871,0.91118,0.92795,0.92809,0.92485,0.95339,0.95052,0.96207,0.96237,0.95436,0.9692,0.96239,0.97906,0.98995,0.96388,0.98131,0.97884,0.97657,0.9663,0.97987,0.95229,0.95919,0.97046,0.99943,0.98465,0.9851,0.99196,1.0098,0.96468,0.99668,1.001,0.99664,0.99646,0.98986,0.97417,0.9544,0.94452,0.94543,0.91159,0.87754,0.72005
Wheat I,2007/8,2,0,2,13,13.3666,0.36901,0.014582,0.12977,0.20024,0.29945,0.34846,0.36295,0.41524,0.43258,0.44745,0.50939,0.53321,0.55459,0.5894,0.63469,0.66111,0.68296,0.7046,0.7608,0.75605,0.80065,0.81047,0.82019,0.84653,0.86762,0.88843,0.8882,0.88552,0.92977,0.92672,0.94163,0.94315,0.96673,0.97639,0.95371,0.95705,0.98205,0.97497,0.9632,0.97901,0.99669,0.9949,0.98336,0.97214,0.99501,0.97734,0.9727,0.94914,0.93766,0.9153,0.8707,0.68139
Wheat I,2007/8,2,0,3,13,14.6814,0.52222,0.034864,0.11607,0.1897,0.2554,0.31299,0.36665,0.39501,0.44938,0.48615,0.51245,0.55036,0.5574,0.57949,0.60267,0.64556,0.67411,0.70748,0.75909,0.79643,0.81691,0.8346,0.85096,0.87913,0.88879,0.91623,0.91311,0.95206,0.95748,0.96069,0.98669,0.99279,0.98273,0.99495,0.98958,0.99121,0.98392,0.98588,0.97157,0.97213,0.97335,0.97545,0.95241,0.95693,0.93332,0.92432,0.90937,0.89258,0.88089,0.86838,0.81064,0.56255
Wheat I,2007/8,2,0,4,13,12.933,0.60892,0.07352,0.16201,0.2178,0.19553,0.22152,0.3092,0.36918,0.41913,0.47798,0.52096,0.58467,0.6311,0.63202,0.66707,0.68922,0.72429,0.69783,0.76898,0.82021,0.90155,0.89768,0.89379,0.91565,0.9297,0.93777,0.93129,0.95003,0.94538,0.94817,0.93333,0.97318,0.96412,0.97039,0.96804,0.99324,0.98604,0.97319,0.96314,0.96369,0.9534,0.95363,0.948,0.91863,0.93137,0.9185,0.8852,0.83825,0.80139,0.74158,0.71969,0.60331
Wheat I,2007/8,2,0,5,13,13.1258,0.65395,-0.028038,0.11236,0.17594,0.25602,0.32495,0.37205,0.4205,0.4853,0.50579,0.56658,0.6098,0.62844,0.65787,0.67266,0.73186,0.74123,0.76395,0.76931,0.79008,0.83317,0.83181,0.8646,0.89972,0.92889,0.95878,0.95862,0.98804,0.97004,0.97282,0.96632,0.95784,0.97538,0.96404,0.97387,0.95561,0.95431,0.93954,0.94501,0.93765,0.92802,0.92759,0.89412,0.91468,0.89052,0.83648,0.79872,0.7556,0.73438,0.7286,0.69526,0.51062
Wheat I,2007/8,2,0,6,13,14.0003,0.74269,0.10437,0.099684,0.16903,0.25665,0.31315,0.38645,0.43301,0.48153,0.53909,0.57976,0.62241,0.67293,0.71441,0.74412,0.75421,0.7745,0.80355,0.81264,0.84284,0.86758,0.9191,0.93831,0.95987,0.97672,0.97244,0.97697,0.98528,0.98534,0.9859,0.98605,0.97901,0.96566,0.94713,0.95294,0.93829,0.91098,0.90849,0.90083,0.89822,0.88528,0.87396,0.84549,0.83792,0.82874,0.8239,0.79458,0.77478,0.74782,0.73344,0.68821,0.51767
Wheat I,2007/8,2,0,7,13,14.3582,0.77895,0.040549,0.13515,0.24827,0.3499,0.41631,0.46185,0.50925,0.57151,0.62128,0.65358,0.71493,0.73725,0.76161,0.79587,0.80027,0.8174,0.83494,0.82885,0.86381,0.90462,0.9275,0.95964,0.96768,0.98248,0.98221,0.97407,0.98624,0.98849,0.97059,0.95904,0.95664,0.94265,0.93046,0.92757,0.91058,0.92355,0.92061,0.9113,0.89924,0.89048,0.88681,0.85252,0.8603,0.83739,0.82732,0.8126,0.79737,0.78827,0.76336,0.74273,0.53778
Wheat I,2007/8,2,0,8,13,17.3694,0.89079,-0.0086205,0.14899,0.2597,0.35926,0.43704,0.51849,0.56575,0.61368,0.65815,0.69765,0.74119,0.77399,0.80282,0.81448,0.82493,0.83512,0.8881,0.93301,0.95693,0.96672,0.97238,0.98516,0.9827,0.98947,0.98222,0.98503,0.97354,0.97238,0.96124,0.9483,0.93743,0.92763,0.92447,0.9018,0.88572,0.87423,0.86106,0.86749,0.85911,0.85818,0.85382,0.82378,0.82148,0.81437,0.80695,0.80575,0.79111,0.77159,0.73614,0.6796,0.43989
Wheat I,2007/8,2,0,9,13,20.5092,1.0868,0.015538,0.099481,0.1651,0.23601,0.2801,0.34775,0.41027,0.46098,0.50055,0.54358,0.60353,0.65328,0.68169,0.72017,0.74433,0.7726,0.781,0.80029,0.84773,0.87097,0.90535,0.91748,0.92518,0.94053,0.94443,0.96502,0.97706,0.98907,0.99554,0.99032,0.99001,0.99078,0.98721,0.98251,0.97144,0.97213,0.96625,0.95564,0.93774,0.93647,0.91762,0.90828,0.89803,0.87114,0.87458,0.86816,0.85127,0.84605,0.82245,0.78398,0.65628
Wheat I,2007/8,2,0,10,13,23.8504,1.2404,0.01701,0.11794,0.18082,0.27244,0.34484,0.3988,0.47024,0.52408,0.55531,0.57797,0.60354,0.63562,0.65756,0.68045,0.70687,0.72659,0.77648,0.82922,0.85826,0.89653,0.93213,0.9514,0.96617,0.97074,0.97983,0.9843,0.98816,0.98624,0.98294,0.99005,0.98918,0.98217,0.99361,0.98832,0.97255,0.96672,0.96255,0.94907,0.94865,0.93665,0.92283,0.92179,0.91061,0.91242,0.90072,0.88517,0.87182,0.84885,0.81001,0.75401,0.56992
Wheat I,2007/8,2,0,10,14,22.0457,1.0991,0.058977,0.094899,0.13899,0.18723,0.26816,0.35374,0.42026,0.49988,0.54451,0.59705,0.61466,0.60067,0.6407,0.6858,0.67878,0.69795,0.77509,0.81286,0.84124,0.85447,0.88001,0.91221,0.92527,0.93498,0.92565,0.95001,0.93784,0.96567,0.97035,0.98583,0.98222,0.99992,0.99181,0.98898,0.97941,0.9861,0.98551,0.99067,0.97251,0.95963,0.95555,0.94836,0.93033,0.93027,0.91231,0.91089,0.88803,0.87561,0.85097,0.79391,0.67457
Wheat I,2007/8,2,0,11,13,25.7751,1.312,0.017955,0.14039,0.24257,0.33342,0.41938,0.48539,0.52457,0.56766,0.59568,0.61461,0.63774,0.66357,0.69906,0.72783,0.76762,0.80114,0.85553,0.89459,0.92041,0.94329,0.95538,0.97189,0.98519,0.99132,0.98754,0.98869,0.98765,0.99171,0.9876,0.97426,0.98089,0.98175,0.96896,0.9627,0.95334,0.951,0.95265,0.94875,0.94769,0.95217,0.95102,0.94631,0.93351,0.9134,0.89304,0.8771,0.85528,0.84312,0.8181,0.78553,0.66051
Wheat I,2007/8,2,0,11,14,24.424,1.2506,-0.0075729,0.093566,0.17491,0.27616,0.34876,0.41597,0.47426,0.54324,0.58324,0.60868,0.62216,0.64046,0.65602,0.67847,0.69209,0.72514,0.75973,0.80593,0.85421,0.89326,0.92521,0.94338,0.96696,0.96176,0.97055,0.9879,0.98476,0.98685,0.9918,0.9919,0.98489,0.97116,0.96273,0.96707,0.95366,0.94793,0.94372,0.94664,0.95578,0.96596,0.95929,0.93529,0.91076,0.89806,0.89562,0.87596,0.85474,0.83928,0.8077,0.74594,0.61327
Wheat I,2007/8,2,0,12,13,28.1925,1.3944,0.010333,0.068429,0.16526,0.26838,0.35076,0.41909,0.46774,0.49534,0.53153,0.55138,0.58732,0.61936,0.66846,0.71889,0.77805,0.80756,0.84572,0.87468,0.89286,0.91081,0.92126,0.95033,0.96032,0.96644,0.97476,0.9816,0.9821,0.98667,0.98876,0.98223,0.98805,0.98187,0.97998,0.98401,0.98207,0.97089,0.95662,0.95953,0.94735,0.94235,0.94433,0.9484,0.94174,0.92435,0.91399,0.89731,0.88115,0.86487,0.84684,0.80797,0.62641
Wheat I,2007/8,2,0,12,14,27.0447,1.3181,0.0076852,0.11507,0.22728,0.32924,0.41074,0.46231,0.50386,0.52609,0.56762,0.59202,0.61677,0.6427,0.6695,0.7072,0.74407,0.78459,0.82705,0.86904,0.9037,0.92909,0.94346,0.95647,0.96549,0.98001,0.97759,0.98166,0.98135,0.98468,0.98123,0.98395,0.97038,0.9702,0.95546,0.9614,0.9518,0.94902,0.95345,0.94738,0.93896,0.94378,0.94112,0.94534,0.92661,0.91529,0.89483,0.86951,0.85704,0.83487,0.81468,0.77504,0.64537
Wheat I,2007/8,2,0,13,13,23.8677,1.6868,-0.0028188,0.063537,0.11635,0.17933,0.23936,0.30367,0.35372,0.39188,0.44147,0.4845,0.53695,0.57614,0.62474,0.66302,0.68206,0.70912,0.73435,0.7684,0.7888,0.81234,0.83518,0.85527,0.87406,0.89112,0.90482,0.92809,0.95083,0.96839,0.97916,0.98228,0.99235,0.99116,0.9857,0.989,0.98511,0.97854,0.97058,0.96457,0.95858,0.94778,0.94465,0.94612,0.93471,0.91259,0.89149,0.86814,0.8398,0.80795,0.74867,0.66368,0.48227
Wheat I,2007/8,2,0,13,14,29.9781,1.5228,0.027184,0.082202,0.16196,0.25109,0.33604,0.39383,0.44106,0.47077,0.49951,0.51803,0.56629,0.61149,0.67577,0.7347,0.7791,0.80278,0.83271,0.86487,0.88358,0.91078,0.92897,0.94193,0.94785,0.96158,0.96745,0.96907,0.9748,0.98153,0.98712,0.98885,0.99123,0.99386,0.98933,0.98555,0.97393,0.96817,0.9781,0.95775,0.94657,0.93821,0.92548,0.926,0.92847,0.91591,0.90259,0.90218,0.88444,0.85438,0.82073,0.78323,0.61294
Wheat I,2007/8,2,0,14,14,21.8016,1.7189,0.0088567,0.053708,0.10408,0.17037,0.2292,0.26557,0.31202,0.36239,0.41065,0.45898,0.4967,0.52699,0.56211,0.59904,0.63657,0.66702,0.69301,0.72813,0.76033,0.78651,0.81103,0.83143,0.85169,0.86771,0.88352,0.89768,0.91182,0.92933,0.94558,0.96419,0.98207,0.98717,0.98556,0.98404,0.9858,0.97845,0.96868,0.96855,0.96015,0.96146,0.96109,0.94616,0.92251,0.90925,0.90266,0.89629,0.85509,0.82596,0.77683,0.66861,0.47042
Wheat I,2007/8,3,0,1,13,8.1019,0.33706,0.053878,0.43029,0.52406,0.65256,0.73276,0.77133,0.82412,0.85588,0.8721,0.90566,0.89385,0.896,0.9418,0.95613,0.95818,0.97159,0.96828,0.96919,0.97287,0.97415,0.98546,0.99065,0.99314,0.98619,0.98898,0.98978,0.99417,0.98076,0.99145,0.97884,0.99016,1.0022,0.99429,0.98267,0.97411,0.95787,0.9888,0.99062,0.96823,0.97725,0.96484,0.9684,0.97243,0.94579,0.95601,0.94091,0.95297,0.93683,0.90138,0.91665,0.76014
Wheat I,2007/8,3,0,2,13,13.159,0.37135,-0.089738,0.12864,0.20157,0.32481,0.36934,0.4102,0.44717,0.46763,0.51848,0.52543,0.57887,0.59844,0.63104,0.65379,0.68657,0.68708,0.74332,0.7569,0.8019,0.80883,0.82723,0.87309,0.8836,0.89148,0.92921,0.95173,0.93579,0.95746,0.95665,0.96849,0.96507,0.9645,0.99006,0.97936,0.98082,0.99901,0.99288,1.0087,1.0175,1.0006,1.0128,0.97823,0.97995,1.0001,0.98267,0.96622,0.95958,0.93492,0.87153,0.83907,0.66915
Wheat I,2007/8,3,0,3,13,15.3526,0.52295,0.011129,0.13723,0.20851,0.28267,0.33437,0.36204,0.39204,0.39641,0.41874,0.49891,0.5589,0.5847,0.59821,0.62167,0.64627,0.70116,0.74296,0.80772,0.82798,0.84242,0.87289,0.90688,0.91771,0.93907,0.92928,0.94789,0.96807,0.98118,0.98665,0.99779,0.99391,1.0002,1.0095,0.99229,1.0058,0.99679,1.0088,0.98513,0.95973,0.96147,0.94682,0.95296,0.93421,0.89895,0.87502,0.86821,0.86184,0.8494,0.79249,0.74498,0.54469
Wheat I,2007/8,3,0,5,13,15.9949,0.72164,0.044479,0.17508,0.26377,0.31926,0.37304,0.42924,0.45866,0.48362,0.53445,0.57757,0.63849,0.67228,0.74163,0.75463,0.76874,0.8086,0.8244,0.83694,0.8367,0.83086,0.88872,0.94817,0.96601,0.9763,0.99142,0.99453,0.9948,1.0067,1.0053,0.99877,0.99556,0.9549,0.96837,0.93637,0.92765,0.89474,0.89173,0.88966,0.87501,0.87901,0.84755,0.83501,0.82562,0.84504,0.83105,0.77634,0.71656,0.69106,0.65871,0.57609,0.41
Wheat I,2007/8,3,0,6,13,15.6372,0.72632,-0.023004,0.15277,0.22679,0.29817,0.34895,0.42616,0.48621,0.54763,0.59279,0.64004,0.67647,0.71001,0.7477,0.76463,0.76861,0.7986,0.87143,0.88253,0.90439,0.94517,0.96787,0.98408,1.0013,1.0032,0.9995,0.99247,0.98966,0.98849,0.98764,0.97646,0.96599,0.95661,0.94921,0.92502,0.8974,0.87095,0.87853,0.86042,0.85528,0.82386,0.82502,0.78951,0.78793,0.77404,0.75273,0.75701,0.74025,0.724,0.70032,0.68387,0.51956
Wheat I,2007/8,3,0,7,13,15.7331,0.72632,-0.019644,0.18896,0.31498,0.41059,0.47488,0.52448,0.59206,0.64585,0.70614,0.73295,0.77021,0.78056,0.8023,0.80789,0.82115,0.85916,0.88231,0.92716,0.95565,0.97693,0.98876,0.98204,0.98934,0.99296,0.99843,0.99442,0.98753,0.98371,0.97613,0.97066,0.9608,0.95229,0.93452,0.92272,0.90948,0.88587,0.86515,0.86798,0.85,0.838,0.83917,0.82983,0.81645,0.80635,0.80059,0.79437,0.77638,0.74906,0.72607,0.68904,0.52635
Wheat I,2007/8,3,0,8,13,19.8086,0.87895,-0.025008,0.17577,0.31163,0.41169,0.4748,0.53926,0.59184,0.64461,0.69104,0.71781,0.74907,0.76418,0.79019,0.78395,0.81038,0.84459,0.8726,0.90444,0.94037,0.9602,0.96947,0.98134,0.9944,0.99945,0.99559,0.98812,0.98781,0.9879,0.98152,0.98412,0.98487,0.96957,0.95984,0.94952,0.93335,0.91327,0.91485,0.90648,0.89001,0.8786,0.86731,0.86815,0.8595,0.84319,0.82518,0.82264,0.8095,0.7869,0.75475,0.70061,0.5904
Wheat I,2007/8,3,0,9,13,21.1531,1.0254,-0.0073467,0.16936,0.26238,0.3282,0.37945,0.41682,0.46915,0.50039,0.55674,0.59782,0.6274,0.65335,0.68405,0.7135,0.7616,0.79486,0.82441,0.86178,0.88267,0.89679,0.91597,0.92914,0.93881,0.96242,0.97644,0.97894,0.9856,0.99169,0.99422,0.9973,1.0062,1.0119,1.0047,0.99044,0.98007,0.96372,0.95855,0.95972,0.955,0.93109,0.93314,0.92964,0.91976,0.89776,0.89304,0.87077,0.86748,0.83787,0.80814,0.76511,0.65944
Wheat I,2007/8,3,0,10,13,23.563,1.1523,0.015734,0.11532,0.19937,0.30026,0.37643,0.44367,0.51167,0.54753,0.57568,0.60086,0.62379,0.64546,0.67406,0.70634,0.7368,0.75993,0.80761,0.85868,0.88612,0.92236,0.94478,0.96317,0.9675,0.97427,0.98347,0.99589,0.9918,0.99915,1.0033,0.99281,0.99603,0.99184,0.99004,0.97635,0.99097,0.97604,0.95175,0.95189,0.9433,0.93824,0.93045,0.90919,0.90172,0.88356,0.88358,0.85325,0.8413,0.82184,0.78084,0.74944,0.60341
Wheat I,2007/8,3,0,11,13,24.8493,1.1974,0.00053334,0.10531,0.1951,0.29815,0.40497,0.47637,0.52714,0.5579,0.58553,0.61519,0.64184,0.67434,0.71393,0.75332,0.80561,0.85156,0.87667,0.90296,0.92793,0.94923,0.96198,0.9765,0.98478,0.9921,0.99071,0.99153,0.99767,0.99337,0.99724,0.98999,0.98645,0.97522,0.96422,0.9668,0.95081,0.94538,0.94942,0.92914,0.93413,0.92692,0.92286,0.91814,0.91703,0.90266,0.88726,0.87657,0.86512,0.84385,0.81418,0.76428,0.60957
Wheat I,2007/8,3,0,12,13,27.3128,1.3325,-0.030318,0.11065,0.20759,0.29621,0.37595,0.43723,0.47576,0.51142,0.55656,0.58736,0.62962,0.68459,0.72919,0.76373,0.79338,0.82265,0.84208,0.86638,0.88867,0.91745,0.93588,0.94724,0.96479,0.97317,0.97624,0.98475,0.99128,0.99328,0.98904,0.99346,0.99457,0.99434,0.98682,0.98046,0.98135,0.97029,0.96206,0.9543,0.93968,0.94818,0.93808,0.94057,0.94242,0.93389,0.91268,0.90418,0.88533,0.86405,0.84161,0.7811,0.61074
Wheat I,2007/8,3,0,13,13,23.7526,1.5477,0.013883,0.063318,0.11533,0.19116,0.25284,0.29609,0.35063,0.39496,0.4494,0.49257,0.52488,0.55715,0.58871,0.62497,0.6515,0.6847,0.7106,0.74224,0.7689,0.79212,0.82192,0.84117,0.86045,0.88438,0.91282,0.93082,0.94348,0.9561,0.96757,0.9801,0.99107,0.98863,0.99268,0.99505,0.99242,0.98454,0.98147,0.97306,0.96603,0.96067,0.94996,0.9388,0.92284,0.90426,0.88075,0.89911,0.86837,0.84568,0.80064,0.70285,0.50973
Wheat II,2007/8,1,0,2,10,8.6814,0.28757,0.61614,0.15137,0.24772,0.30104,0.34618,0.39944,0.46561,0.50812,0.53734,0.47804,0.48698,0.60665,0.59605,0.61919,0.66077,0.61996,0.6612,0.68106,0.73493,0.73872,0.75965,0.78012,0.74639,0.76254,0.78007,0.82179,0.85021,0.8482,0.89195,0.88558,0.92406,0.93053,0.91209,0.95904,0.96184,0.93059,0.94344,0.97427,0.98103,0.97179,0.96681,0.96454,0.9534,0.92978,0.98153,0.94357,0.9252,0.92612,0.94213,0.9187,0.70039
Wheat II,2007/8,1,0,3,10,11.4931,0.38348,0.12348,0.19674,0.23783,0.29773,0.35096,0.36239,0.40405,0.40958,0.48644,0.46172,0.52202,0.58217,0.62556,0.66432,0.66397,0.71038,0.73933,0.75916,0.7707,0.80011,0.81599,0.81114,0.80071,0.83481,0.83745,0.84778,0.89562,0.89773,0.88184,0.91933,0.93188,0.9429,0.93262,0.9615,0.96243,0.94575,0.9363,0.94554,0.9663,0.9232,0.93749,0.91278,0.94511,0.92328,0.92119,0.92395,0.97715,0.94173,0.93818,0.87892,0.69812
Wheat II,2007/8,1,0,4,10,11.579,0.56798,0.029683,0.11571,0.16001,0.2126,0.25886,0.31435,0.35423,0.40629,0.44477,0.47727,0.51477,0.55392,0.59534,0.63184,0.66194,0.71197,0.75742,0.80366,0.84043,0.86845,0.89066,0.91519,0.93448,0.94687,0.9629,0.96882,0.95756,0.96894,0.94529,0.94662,0.94313,0.9441,0.95771,0.95314,0.96318,0.95658,0.95897,0.97703,0.96506,0.95648,0.9644,0.97819,0.97987,0.97316,0.96964,0.96978,0.96113,0.95267,0.91519,0.87159,0.79016
